Epoch=1, TrainLoss=1.3606, TrainAcc=0.6352, ValLoss=1.1863, ValAcc=0.6341, Time=43.32s
Epoch=2, TrainLoss=1.4477, TrainAcc=0.5713, ValLoss=4.3267, ValAcc=0.1739, Time=44.22s
Epoch=3, TrainLoss=1.9662, TrainAcc=0.4316, ValLoss=3.2349, ValAcc=0.3080, Time=43.59s
Epoch=4, TrainLoss=1.9914, TrainAcc=0.4194, ValLoss=3.5872, ValAcc=0.1685, Time=43.25s
Epoch=5, TrainLoss=2.0411, TrainAcc=0.4057, ValLoss=3.3143, ValAcc=0.2011, Time=44.55s
Epoch=6, TrainLoss=1.8539, TrainAcc=0.4415, ValLoss=3.2680, ValAcc=0.2862, Time=43.90s
Epoch=7, TrainLoss=1.6632, TrainAcc=0.5054, ValLoss=3.8872, ValAcc=0.1975, Time=44.00s
Epoch=8, TrainLoss=1.4937, TrainAcc=0.5563, ValLoss=2.2230, ValAcc=0.3841, Time=43.96s
Epoch=9, TrainLoss=1.3531, TrainAcc=0.5822, ValLoss=1.8574, ValAcc=0.4819, Time=44.01s
Epoch=10, TrainLoss=1.2268, TrainAcc=0.6113, ValLoss=2.5292, ValAcc=0.3188, Time=43.55s
Epoch=11, TrainLoss=1.1177, TrainAcc=0.6464, ValLoss=2.0687, ValAcc=0.4819, Time=43.96s
Epoch=12, TrainLoss=1.0389, TrainAcc=0.6704, ValLoss=1.3329, ValAcc=0.5906, Time=44.29s
Epoch=13, TrainLoss=0.8143, TrainAcc=0.7494, ValLoss=1.4178, ValAcc=0.5797, Time=43.52s
Epoch=14, TrainLoss=0.6624, TrainAcc=0.7852, ValLoss=1.7205, ValAcc=0.5543, Time=43.92s
Epoch=15, TrainLoss=0.5541, TrainAcc=0.8238, ValLoss=0.7741, ValAcc=0.7754, Time=44.01s
Epoch=16, TrainLoss=0.3999, TrainAcc=0.8702, ValLoss=0.8365, ValAcc=0.7500, Time=43.54s
Epoch=17, TrainLoss=0.2742, TrainAcc=0.9153, ValLoss=0.6645, ValAcc=0.7826, Time=43.31s
Epoch=18, TrainLoss=0.1745, TrainAcc=0.9511, ValLoss=0.6479, ValAcc=0.8243, Time=44.64s
Epoch=19, TrainLoss=0.1379, TrainAcc=0.9610, ValLoss=0.6193, ValAcc=0.8279, Time=43.83s
Epoch=20, TrainLoss=0.1125, TrainAcc=0.9715, ValLoss=0.6341, ValAcc=0.8261, Time=43.83s
